Jogador,Posição,Nacionalidade
Bremer,Defensor,Brasil
Danilo,Defensor,Brasil
Douglas Santos,Defensor,Brasil
Gabriel Magalhães,Defensor,Brasil
Ibañez,Defensor,Brasil
Léo Pereira,Defensor,Brasil
Marquinhos,Defensor,Brasil
Wesley,Defensor,Brasil
Bruno Guimarães,Meio-campista,Brasil
Casemiro,Meio-campista,Brasil
Danilo Santos,Meio-campista,Brasil
Fabinho,Meio-campista,Brasil
Lucas Paquetá,Meio-campista,Brasil
Endrick,Atacante,Brasil
Gabriel Martinelli,Atacante,Brasil
Igor Thiago,Atacante,Brasil
Luiz Henrique,Atacante,Brasil
Matheus Cunha,Atacante,Brasil
Neymar,Atacante,Brasil
Raphinha,Atacante,Brasil
Rayan,Atacante,Brasil
Vini Jr.,Atacante,Brasil
Mike Penders,Goleiro,Bélgica
Senne Lammens,Goleiro,Bélgica
Thibaut Courtois,Goleiro,Bélgica
Arthur Theate,Defensor,Bélgica
Brandon Mechele,Defensor,Bélgica
Joaquin Seys,Defensor,Bélgica
Koni De Winter,Defensor,Bélgica
Maxim De Cuyper,Defensor,Bélgica
Nathan Ngoy,Defensor,Bélgica
Thomas Meunier,Defensor,Bélgica
Timothy Castagne,Defensor,Bélgica
Zeno Debast,Defensor,Bélgica
Amadou Onana,Meio-campista,Bélgica
Axel Witsel,Meio-campista,Bélgica
Hans Vanaken,Meio-campista,Bélgica
Kevin De Bruyne,Meio-campista,Bélgica
Nicolas Raskin,Meio-campista,Bélgica
Youri Tielemans,Meio-campista,Bélgica
Alexis Saelemaekers,Atacante,Bélgica
Charles De Ketelaere,Atacante,Bélgica
Diego Moreira,Atacante,Bélgica
Dodi Lukebakio,Atacante,Bélgica
Jeremy Doku,Atacante,Bélgica
Leandro Trossard,Atacante,Bélgica
Matias Fernandez-Pardo,Atacante,Bélgica
Romelu Lukaku,Atacante,Bélgica
Carlos dos Santos,Goleiro,Cabo Verde
Márcio Rosa,Goleiro,Cabo Verde
Vozinha,Goleiro,Cabo Verde
Diney Borges,Defensor,Cabo Verde
Kelvin Pires,Defensor,Cabo Verde
Logan Costa,Defensor,Cabo Verde
Roberto Lopes,Defensor,Cabo Verde
Sidny Cabral,Defensor,Cabo Verde
Steven Moreira,Defensor,Cabo Verde
Stopira,Defensor,Cabo Verde
Wagner Pina,Defensor,Cabo Verde
Deroy Duarte,Meio-campista,Cabo Verde
Jamiro Monteiro,Meio-campista,Cabo Verde
João Paulo Fernandes,Meio-campista,Cabo Verde
Kevin Pina,Meio-campista,Cabo Verde
Laros Duarte,Meio-campista,Cabo Verde
Telmo Arcanjo,Meio-campista,Cabo Verde
Yannick Semedo,Meio-campista,Cabo Verde
Dailon Livramento,Atacante,Cabo Verde
Garry Rodrigues,Atacante,Cabo Verde
Gilson Benchimol,Atacante,Cabo Verde
Hélio Varela,Atacante,Cabo Verde
Jovane Cabral,Atacante,Cabo Verde
Nuno da Costa,Atacante,Cabo Verde
Ryan Mendes,Atacante,Cabo Verde
Willy Semedo,Atacante,Cabo Verde
Aldair Quintana,Goleiro,Colômbia
Camilo Vargas,Goleiro,Colômbia
David Ospina,Goleiro,Colômbia
Kevin Mier,Goleiro,Colômbia
Mosquera Marmolejo,Goleiro,Colômbia
Álvaro Montero,Goleiro,Colômbia
Andrés Roman,Defensor,Colômbia
Carlos Cuesta,Defensor,Colômbia
Cristian Borja,Defensor,Colômbia
Daniel Muñoz,Defensor,Colômbia
Dávinson Sánchez,Defensor,Colômbia
Déiver Machado,Defensor,Colômbia
Jhohan Romaña,Defensor,Colômbia
Jhon Janer Lucumí,Defensor,Colômbia
Johan Mojica,Defensor,Colômbia
Juan Cabal,Defensor,Colômbia
Junior Hernández,Defensor,Colômbia
Santiago Arias,Defensor,Colômbia
Willer Ditta,Defensor,Colômbia
Yerry Mina,Defensor,Colômbia
Yerson Mosquera,Defensor,Colômbia
Álvaro Angulo,Defensor,Colômbia
Édier Ocampo,Defensor,Colômbia
Carlos Andrés Gómez,Meio-campista,Colômbia
Gustavo Puerta,Meio-campista,Colômbia
James Rodríguez,Meio-campista,Colômbia
Jefferson Lerma,Meio-campista,Colômbia
Jhon Solís,Meio-campista,Colômbia
Johan Rojas,Meio-campista,Colômbia
Jordan Barrera,Meio-campista,Colômbia
Jorge Carracal,Meio-campista,Colômbia
Juan Portilla,Meio-campista,Colômbia
Juan Rengifo,Meio-campista,Colômbia
Juanfer Quintero,Meio-campista,Colômbia
Kevin Castaño,Meio-campista,Colômbia
Nelson Deossa,Meio-campista,Colômbia
Richard Ríos,Meio-campista,Colômbia
Sebastián Gómez,Meio-campista,Colômbia
Wílmar Barrios,Meio-campista,Colômbia
Yáser Asprilla,Meio-campista,Colômbia
Edwuin Cetré,Atacante,Colômbia
Jhon Arias,Atacante,Colômbia
Jhon Córdoba,Atacante,Colômbia
Jhon Durán,Atacante,Colômbia
Johan Carbonero,Atacante,Colômbia
Juan Camilo Hernández,Atacante,Colômbia
Juan Cuadrado,Atacante,Colômbia
Jáminton Campaz,Atacante,Colômbia
Kevin Viveros,Atacante,Colômbia
Lucho Díaz,Atacante,Colômbia
Luis Suarez,Atacante,Colômbia
Néiser Villarreal,Atacante,Colômbia
Santos Borré,Atacante,Colômbia
Sebastián Villa,Atacante,Colômbia
Steven Mendoza,Atacante,Colômbia
Jo Hyeonwoo,Goleiro,Coreia do Sul
Kim Seunggyu,Goleiro,Coreia do Sul
Song Bumkeun,Goleiro,Coreia do Sul
Cho Yumin,Defensor,Coreia do Sul
Jens Castrop,Defensor,Coreia do Sul
Kim Min-jae,Defensor,Coreia do Sul
Kim Moonhwan,Defensor,Coreia do Sul
Kim Taehyeon,Defensor,Coreia do Sul
Lee Hanbeom,Defensor,Coreia do Sul
Lee Kihyuk,Defensor,Coreia do Sul
Lee Taeseok,Defensor,Coreia do Sul
Park Jinseob,Defensor,Coreia do Sul
Seol Youngwoo,Defensor,Coreia do Sul
Bae Junho,Meio-campista,Coreia do Sul
Eom Jisung,Meio-campista,Coreia do Sul
Hwang Heechan,Meio-campista,Coreia do Sul
Hwang Inbeom,Meio-campista,Coreia do Sul
Kim Jingyu,Meio-campista,Coreia do Sul
Lee Donggyeong,Meio-campista,Coreia do Sul
Lee Jaesung,Meio-campista,Coreia do Sul
Lee Kang-in,Meio-campista,Coreia do Sul
Paik Seungho,Meio-campista,Coreia do Sul
Yang Hyunjun,Meio-campista,Coreia do Sul
Cho Gue-sung,Atacante,Coreia do Sul
Oh Hyeongyu,Atacante,Coreia do Sul
Son Heung-min,Atacante,Coreia do Sul
Alban Lafont,Goleiro,Costa do Marfim
Mohamed Koné,Goleiro,Costa do Marfim
Yahia Fofana,Goleiro,Costa do Marfim
Clement Akpa,Defensor,Costa do Marfim
Emmanuel Agbadou,Defensor,Costa do Marfim
Evan Ndicka,Defensor,Costa do Marfim
Ghislain Konan,Defensor,Costa do Marfim
Guela Doue,Defensor,Costa do Marfim
Odilon Kossounou,Defensor,Costa do Marfim
Ousmane Diomande,Defensor,Costa do Marfim
Wilfried Singo,Defensor,Costa do Marfim
Christ Inao Dulai,Meio-campista,Costa do Marfim
Franck Kessié,Meio-campista,Costa do Marfim
Ibrahim Sangare,Meio-campista,Costa do Marfim
Jean-Mickael Seri,Meio-campista,Costa do Marfim
Parfait Guiagon,Meio-campista,Costa do Marfim
Seko Fofana,Meio-campista,Costa do Marfim
Amad Diallo,Atacante,Costa do Marfim
Ange-voan Bonny,Atacante,Costa do Marfim
Bazoumana Touré,Atacante,Costa do Marfim
Elye Wahi,Atacante,Costa do Marfim
Evann Guessand,Atacante,Costa do Marfim
Nicolas Pepé,Atacante,Costa do Marfim
Oumar Diakité,Atacante,Costa do Marfim
Simon Adingra,Atacante,Costa do Marfim
Van Diomande,Atacante,Costa do Marfim
Dominik Kotarski,Goleiro,Croácia
Dominik Livakovic,Goleiro,Croácia
Ivor Pandur,Goleiro,Croácia
Duje Caleta-Car,Defensor,Croácia
Josip Stanisic,Defensor,Croácia
Josip Sutalo,Defensor,Croácia
Josko Gvardiol,Defensor,Croácia
Luka Vuskovic,Defensor,Croácia
Marin Pongracic,Defensor,Croácia
Martin Erlic,Defensor,Croácia
Kristijan Jakic,Meio-campista,Croácia
Luka Modric,Meio-campista,Croácia
Luka Sucic,Meio-campista,Croácia
Mario Pasalic,Meio-campista,Croácia
Martin Baturina,Meio-campista,Croácia
Mateo Kovacic,Meio-campista,Croácia
Nikola Moro,Meio-campista,Croácia
Nikola Vlasic,Meio-campista,Croácia
Petar Sucic,Meio-campista,Croácia
Toni Fruk,Meio-campista,Croácia
Andrej Kramaric,Atacante,Croácia
Ante Budimir,Atacante,Croácia
Igor Matanovic,Atacante,Croácia
Ivan Perisic,Atacante,Croácia
Marco Pasalic,Atacante,Croácia
Peter Musa,Atacante,Croácia
Eloy Room,Goleiro,Curaçao
Trevor Doornbusch,Goleiro,Curaçao
Tyrick Bodak,Goleiro,Curaçao
Armando Obispo,Defensor,Curaçao
Deveron Fonville,Defensor,Curaçao
Joshua Brenet,Defensor,Curaçao
Juriën Gaari,Defensor,Curaçao
Riechedly Bazoer,Defensor,Curaçao
Roshon van Eijma,Defensor,Curaçao
Sherel Floranus,Defensor,Curaçao
Shurandy Sambo,Defensor,Curaçao
Arjany Martha,Meio-campista,Curaçao
Godfried Roemeratoe,Meio-campista,Curaçao
Juninho Bacuna,Meio-campista,Curaçao
Kevin Felida,Meio-campista,Curaçao
Leandro Bacuna,Meio-campista,Curaçao
Livano Comenencia,Meio-campista,Curaçao
Tyrese Noslin,Meio-campista,Curaçao
Brandley Kuwas,Atacante,Curaçao
Gervane Kastaneer,Atacante,Curaçao
Jearl Margaritha,Atacante,Curaçao
Jeremy Antonisse,Atacante,Curaçao
Jürgen Locadia,Atacante,Curaçao
Kenji Gorre,Atacante,Curaçao
Sontje Hansen,Atacante,Curaçao
Tahith Chong,Atacante,Curaçao
El Mahdi Soliman,Goleiro,Egito
Mohamed Ala,Goleiro,Egito
Mohamed El Shenawy,Goleiro,Egito
Mostafa Shobeir,Goleiro,Egito
Ahmed Fotouh,Defensor,Egito
Hamdi Fathy,Defensor,Egito
Hossam Abdel-Maguid,Defensor,Egito
Karim Hafez,Defensor,Egito
Mohamed Abdel-Moniem,Defensor,Egito
Mohamed Hani,Defensor,Egito
Ramy Rabia,Defensor,Egito
Tarek Hamed,Defensor,Egito
Yasser Ibrahim,Defensor,Egito
Ahmed Sayed Zizo,Meio-campista,Egito
Haithem Hassan,Meio-campista,Egito
Ibrahim Adel,Meio-campista,Egito
Imam Ashour,Meio-campista,Egito
Mahmoud Saber,Meio-campista,Egito
Mahmoud Trezeguet,Meio-campista,Egito
Marwan Attia,Meio-campista,Egito
Mohamed Salah,Meio-campista,Egito
Mohand Lashin,Meio-campista,Egito
Mostafa Abdel-Raouf Ziko,Meio-campista,Egito
Nabil Emad Dunga,Meio-campista,Egito
Akram Tawfiq,Atacante,Egito
Hamza Abdel-Karim,Atacante,Egito
Omar Marmoush,Atacante,Egito
Angus Gunn,Goleiro,Escócia
Craig Gordon,Goleiro,Escócia
Liam Kelly,Goleiro,Escócia
Aaron Hickey,Defensor,Escócia
Andy Robertson,Defensor,Escócia
Anthony Ralston,Defensor,Escócia
Dom Hyam,Defensor,Escócia
Grant Hanley,Defensor,Escócia
Jack Hendry,Defensor,Escócia
John Souttar,Defensor,Escócia
Kieran Tierney,Defensor,Escócia
Nathan Patterson,Defensor,Escócia
Scott McKenna,Defensor,Escócia
Ben Gannon-Doak,Meio-campista,Escócia
Billy Gilmour,Meio-campista,Escócia
Findlay Curtis,Meio-campista,Escócia
John McGinn,Meio-campista,Escócia
Kenny McLean,Meio-campista,Escócia
Lewis Ferguson,Meio-campista,Escócia
Ryan Christie,Meio-campista,Escócia
Scott McTominay,Meio-campista,Escócia
Ché Adams,Atacante,Escócia
George Hirst,Atacante,Escócia
Lawrence Shankland,Atacante,Escócia
Lyndon Dykes,Atacante,Escócia
Ross Stewart,Atacante,Escócia
Alex Remiro,Goleiro,Espanha
David Raya,Goleiro,Espanha
Joan García,Goleiro,Espanha
Leo Román,Goleiro,Espanha
Robert Sánchez,Goleiro,Espanha
Unai Simón,Goleiro,Espanha
Cubarsí,Defensor,Espanha
Cucurella,Defensor,Espanha
Eric García,Defensor,Espanha
Fran García,Defensor,Espanha
Grimaldo,Defensor,Espanha
Hujisen,Defensor,Espanha
Jon Martín,Defensor,Espanha
Laporte,Defensor,Espanha
Le Normand,Defensor,Espanha
Llorente,Defensor,Espanha
Marc Pubill,Defensor,Espanha
Mingueza,Defensor,Espanha
Mosquera,Defensor,Espanha
Pau Torres,Defensor,Espanha
Pedro Porro,Defensor,Espanha
Sergio Gómez,Defensor,Espanha
Víctor Gómez,Defensor,Espanha
Aleix García,Meio-campista,Espanha
Baena,Meio-campista,Espanha
Barrene,Meio-campista,Espanha
Barrios,Meio-campista,Espanha
Dani Olmo,Meio-campista,Espanha
De Frutos,Meio-campista,Espanha
Fabián,Meio-campista,Espanha
Fermín,Meio-campista,Espanha
Fornals,Meio-campista,Espanha
Gavi,Meio-campista,Espanha
Gorrotxa,Meio-campista,Espanha
Jesús Rodríguez,Meio-campista,Espanha
Lamine Yamal,Meio-campista,Espanha
Merino,Meio-campista,Espanha
Moleiro,Meio-campista,Espanha
Nico Williams,Meio-campista,Espanha
Pedri,Meio-campista,Espanha
Rodri,Meio-campista,Espanha
Soler,Meio-campista,Espanha
Víctor Muñoz,Meio-campista,Espanha
Yeremi,Meio-campista,Espanha
Zubimendi,Meio-campista,Espanha
Ansu Fati,Atacante,Espanha
Borja Iglesias,Atacante,Espanha
Espí,Atacante,Espanha
Ferran Torres,Atacante,Espanha
Gonzalo,Atacante,Espanha
Oyarzabal,Atacante,Espanha
Toni Martínez,Atacante,Espanha
Brice Samba,Goleiro,França
Mike Maignan,Goleiro,França
Robin Risser,Goleiro,França
Dayot Upamecano,Defensor,França
Ibrahima Konaté,Defensor,França
Jules Koundé,Defensor,França
Lucas Digne,Defensor,França
Lucas Hernandez,Defensor,França
Malo Gusto,Defensor,França
Maxence Lacroix,Defensor,França
Theo Hernandez,Defensor,França
William Saliba,Defensor,França
Adrien Rabiot,Meio-campista,França
Aurélien Tchouaméni,Meio-campista,França
Manu Koné,Meio-campista,França
N'Golo Kanté,Meio-campista,França
Warren Zaïre-Emery,Meio-campista,França
Bradley Barcola,Atacante,França
Désiré Doué,Atacante,França
Jean-Philippe Mateta,Atacante,França
Kylian Mbappé,Atacante,França
Maghnes Akliouche,Atacante,França
Marcus Thuram,Atacante,França
Michael Olise,Atacante,França
Ousmane Dembélé,Atacante,França
Rayan Cherki,Atacante,França
Alexandre Pierre,Goleiro,Haiti
Johnny Placide,Goleiro,Haiti
Josué Duverger,Goleiro,Haiti
Carlens Arcus,Defensor,Haiti
Duke Lacroix,Defensor,Haiti
Hannes Delcroix,Defensor,Haiti
JK Duverne,Defensor,Haiti
Keeto Thermoncy,Defensor,Haiti
Martin Experience,Defensor,Haiti
Ricardo Ade,Defensor,Haiti
Wilguens Pauguain,Defensor,Haiti
Carl-Fred Sainthe,Meio-campista,Haiti
Dominique Simon,Meio-campista,Haiti
Jean-Jacques Danley,Meio-campista,Haiti
Jeanricner Bellegarde,Meio-campista,Haiti
Leverton Pierre,Meio-campista,Haiti
Pierre Woodenski,Meio-campista,Haiti
Derrick Etienne,Atacante,Haiti
Duckens Nazon,Atacante,Haiti
Frantzdy Pierrot,Atacante,Haiti
Josué Casimir,Atacante,Haiti
Lenny Joseph,Atacante,Haiti
Louicius Deedson,Atacante,Haiti
Ruben Providence,Atacante,Haiti
Wilson Isidor,Atacante,Haiti
Yassin Fortune,Atacante,Haiti
Dean Henderson,Goleiro,Inglaterra
James Trafford,Goleiro,Inglaterra
Jordan Pickford,Goleiro,Inglaterra
Dan Burn,Defensor,Inglaterra
Djed Spence,Defensor,Inglaterra
Ezri Konsa,Defensor,Inglaterra
Jarell Quansah,Defensor,Inglaterra
John Stones,Defensor,Inglaterra
Marc Guehi,Defensor,Inglaterra
Nico O'Reilly,Defensor,Inglaterra
Reece James,Defensor,Inglaterra
Tino Livramento,Defensor,Inglaterra
Declan Rice,Meio-campista,Inglaterra
Eberechi Eze,Meio-campista,Inglaterra
Elliot Anderson,Meio-campista,Inglaterra
Jordan Henderson,Meio-campista,Inglaterra
Jude Bellingham,Meio-campista,Inglaterra
Kobbie Mainoo,Meio-campista,Inglaterra
Morgan Rogers,Meio-campista,Inglaterra
Anthony Gordon,Atacante,Inglaterra
Bukayo Saka,Atacante,Inglaterra
Harry Kane,Atacante,Inglaterra
Ivan Toney,Atacante,Inglaterra
Marcus Rashford,Atacante,Inglaterra
Noni Madueke,Atacante,Inglaterra
Ollie Watkins,Atacante,Inglaterra
Ahmed Basel,Goleiro,Iraque
Fahd Talib,Goleiro,Iraque
Jalal Hassan,Goleiro,Iraque
Kamil Lateef,Goleiro,Iraque
Ahmed Maknazy,Defensor,Iraque
Ahmed Yahya,Defensor,Iraque
Akam Hashem,Defensor,Iraque
Dario Namo,Defensor,Iraque
Frans Dhia,Defensor,Iraque
Hussein Ali,Defensor,Iraque
Maitham Jabbar,Defensor,Iraque
Mirhas Doski,Defensor,Iraque
Munaf Younis,Defensor,Iraque
Mustafa Saadoun,Defensor,Iraque
Rebin Solaka,Defensor,Iraque
Zaid Tahseen,Defensor,Iraque
Ahmed Qasim,Meio-campista,Iraque
Aimar Sher,Meio-campista,Iraque
Ali Jassim,Meio-campista,Iraque
Amir Fouad,Meio-campista,Iraque
Hassan Abdulkarim,Meio-campista,Iraque
Ibrahim Bayesh,Meio-campista,Iraque
Karrar Nabil,Meio-campista,Iraque
Kevin Yacoub,Meio-campista,Iraque
Marco Virgi,Meio-campista,Iraque
Peter Georges,Meio-campista,Iraque
Youssef Al-Amin,Meio-campista,Iraque
Youssef Al-Nasrawi,Meio-campista,Iraque
Zaid Ismail,Meio-campista,Iraque
Zidan Iqbal,Meio-campista,Iraque
Ali Ibrahim Al-Hammadi,Atacante,Iraque
Ali Youssef,Atacante,Iraque
Ayman Hussein,Atacante,Iraque
Mohannad Ali,Atacante,Iraque
Alireza Beiranvand,Goleiro,Irã
Mohammad Khalifeh,Goleiro,Irã
Payam Niazmand,Goleiro,Irã
Seyed Hossein Hosseini,Goleiro,Irã
Ali Nemati,Defensor,Irã
Danial Eiri,Defensor,Irã
Ehsan Hajsafi,Defensor,Irã
Hossein Kanaani,Defensor,Irã
Milad Mohammadi,Defensor,Irã
Omid Noorafkan,Defensor,Irã
Ramin Rezaeian,Defensor,Irã
Saleh Hardani,Defensor,Irã
Shoja Khalilzadeh,Defensor,Irã
Alireza Jahanbakhsh,Meio-campista,Irã
Amir Mohammad Razzaghinia,Meio-campista,Irã
Aria Yousefi,Meio-campista,Irã
Mehdi Ghaedi,Meio-campista,Irã
Mehdi Torabi,Meio-campista,Irã
Mohammad Ghorbani,Meio-campista,Irã
Mohammad Mohebi,Meio-campista,Irã
Rouzbeh Cheshmi,Meio-campista,Irã
Saeid Ezatolahi,Meio-campista,Irã
Saman Ghoddos,Meio-campista,Irã
Ali Alipour,Atacante,Irã
Amirhossein Hosseinzadeh,Atacante,Irã
Amirhossein Mahmoudi,Atacante,Irã
Dennis Dargahi,Atacante,Irã
Hadi Habibinejad,Atacante,Irã
Kasra Taheri,Atacante,Irã
Mehdi Taremi,Atacante,Irã
Shahriyar Moghanlou,Atacante,Irã
Keisuke Osako,Goleiro,Japão
Tomoki Hayakawa,Goleiro,Japão
Zion Suzuki,Goleiro,Japão
Ayumu Seko,Defensor,Japão
Hiroki Ito,Defensor,Japão
Junnoske Suzuki,Defensor,Japão
Ko Itakura,Defensor,Japão
Shogo Taniguchi,Defensor,Japão
Takehiro Tomiyasu,Defensor,Japão
Tsuyoshi Watanabe,Defensor,Japão
Yukinari Sugawara,Defensor,Japão
Yuto Nagatomo,Defensor,Japão
Ao Tanaka,Meio-campista,Japão
Daichi Kamada,Meio-campista,Japão
Junya Ito,Meio-campista,Japão
Kaishu Sano,Meio-campista,Japão
Keito Nakamura,Meio-campista,Japão
Ritsu Doan,Meio-campista,Japão
Takefusa Kubo,Meio-campista,Japão
Wataru Endo,Meio-campista,Japão
Ayase Ueda,Atacante,Japão
Daizen Maeda,Atacante,Japão
Keisuke Goto,Atacante,Japão
Kento Shoigai,Atacante,Japão
Koki Ogawa,Atacante,Japão
Yuito Suzuki,Atacante,Japão
Alex Padilla,Goleiro,México
Antonio Rodríguez,Goleiro,México
Carlos Acevedo,Goleiro,México
Carlos Moreno,Goleiro,México
Guillermo Ochoa,Goleiro,México
Raúl Rangel,Goleiro,México
Bryan González,Defensor,México
César Montes,Defensor,México
Edson Álvarez,Defensor,México
Eduardo Águila,Defensor,México
Everardo López,Defensor,México
Israel Reyes,Defensor,México
Jesús Angulo,Defensor,México
Jesús Gallardo,Defensor,México
Jesús Gómez,Defensor,México
Johan Vásquez,Defensor,México
Jorge Sánchez,Defensor,México
Julián Araujo,Defensor,México
Luis Rey,Defensor,México
Mateo Chávez,Defensor,México
Ramón Juárez,Defensor,México
Richard Ledezma,Defensor,México
Víctor Guzmán,Defensor,México
Alexei Domínguez,Meio-campista,México
Alexis Gutiérrez,Meio-campista,México
Alvaro Fidalgo,Meio-campista,México
Brian Gutiérrez,Meio-campista,México
Carlos Rodríguez,Meio-campista,México
Denzell Garcia,Meio-campista,México
Diego Lainez,Meio-campista,México
Efrain Álvarez,Meio-campista,México
Elias Montiel,Meio-campista,México
Erick Sánchez,Meio-campista,México
Erik Lira,Meio-campista,México
Gilberto Mora,Meio-campista,México
Isaías Violante,Meio-campista,México
Jeremy Márquez,Meio-campista,México
Jesús Ângulo,Meio-campista,México
Jordan Carrillo,Meio-campista,México
Jorge Ruvalcaba,Meio-campista,México
Kevin Castañeda,Meio-campista,México
Luis Chávez,Meio-campista,México
Luis Romo,Meio-campista,México
Marcel Ruiz,Meio-campista,México
Obed Vargas,Meio-campista,México
Orbelin Pineda,Meio-campista,México
Alexis Vega,Atacante,México
Armando González,Atacante,México
César Huerta,Atacante,México
Germán Berterame,Atacante,México
Guillermo Martínez,Atacante,México
Julián Quiñones,Atacante,México
Raúl Jiménez,Atacante,México
Roberto Alvarado,Atacante,México
Santiago Giménez,Atacante,México
Egil Selvik,Goleiro,Noruega
Orjan Nyland,Goleiro,Noruega
Tangvik,Goleiro,Noruega
David Moller Wolfe,Defensor,Noruega
Fredrik Bjorkan,Defensor,Noruega
Henrik Falchener,Defensor,Noruega
Julian Ryerson,Defensor,Noruega
Kristoffer Ajer,Defensor,Noruega
Leo Skiri Ostigard,Defensor,Noruega
Marcus Holmgren Pedersen,Defensor,Noruega
Sondre Langas,Defensor,Noruega
Torbjorn Heggem,Defensor,Noruega
Fredrik Aursnes,Meio-campista,Noruega
Kristian Thorstvedt,Meio-campista,Noruega
Martin Odegaard,Meio-campista,Noruega
Morten Thorsby,Meio-campista,Noruega
Patrick Berg,Meio-campista,Noruega
Sander Berge,Meio-campista,Noruega
Thelonious Asgard,Meio-campista,Noruega
Alexander Sorloth,Atacante,Noruega
Andreas Schjelderup,Atacante,Noruega
Antonio Nusa,Atacante,Noruega
Erling Haaland,Atacante,Noruega
Jans Petter Hauge,Atacante,Noruega
Jorgen Strand Larsen,Atacante,Noruega
Oscar Bobb,Atacante,Noruega
Alex Paulsen,Goleiro,Nova Zelândia
Max Crocombe,Goleiro,Nova Zelândia
Michael Woud,Goleiro,Nova Zelândia
Callan Elliot,Defensor,Nova Zelândia
Finn Surman,Defensor,Nova Zelândia
Francis de Vries,Defensor,Nova Zelândia
Liberato Cacace,Defensor,Nova Zelândia
Michael Boxall,Defensor,Nova Zelândia
Nando Pijnaker,Defensor,Nova Zelândia
Tim Payne,Defensor,Nova Zelândia
Tommy Smith,Defensor,Nova Zelândia
Tyler Bindon,Defensor,Nova Zelândia
Alex Rufer,Meio-campista,Nova Zelândia
Ben Old,Meio-campista,Nova Zelândia
Joe Bell,Meio-campista,Nova Zelândia
Lachlan Bayliss,Meio-campista,Nova Zelândia
Marko Stamenic,Meio-campista,Nova Zelândia
